model_key,model,condition,patient_id,repetition,run,timestamp,raw_valid_json,schema_match,repair_needed,structural_drift_score,extra_keys_count,missing_keys_count,malformed_json,markdown_fence_present
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,16,2,2026-05-22T02:35:19.487931,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,16,2,2026-05-22T02:35:30.485361,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,16,3,2026-05-22T02:35:36.810966,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,16,3,2026-05-22T02:35:40.764020,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,2,1,2026-05-22T02:35:47.007180,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,2,1,2026-05-22T02:35:49.637861,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,2,2,2026-05-22T02:35:57.595368,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,2,2,2026-05-22T02:36:00.728450,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,2,3,2026-05-22T02:36:06.325674,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,2,3,2026-05-22T02:36:10.231514,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,5,1,2026-05-22T02:36:14.811004,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,5,1,2026-05-22T02:36:19.255496,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,5,2,2026-05-22T02:36:22.427406,1,1,0,0.0,0,0,0,0
