run_id,patient_id,repetition,run,model,timestamp,ok,status_code,latency_s,micro_precision,micro_recall,micro_f1,omission_count,hallucination_count,extracted_entities_n,drift_vs_1x,drift_vs_gold,drift_score
20260522_155750,patient_06,16,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:51,1,200,3.0508056999969995,0.6,0.6,0.6,2,2,5,0.8888888888888888,0.5714285714285714,0.7301587301587301
20260522_155750,patient_07,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:54,1,200,3.50930900000094,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7,0.0,0.6,0.3
20260522_155750,patient_07,5,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:58,1,200,2.790786900004605,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7,0.0,0.6,0.3
20260522_155750,patient_07,5,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:01:00,1,200,3.267791899997974,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7,0.0,0.6,0.3
20260522_155750,patient_07,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:01:04,1,200,3.274830000002112,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7,0.0,0.6,0.3
20260522_155750,patient_07,10,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:01:07,1,200,2.76857690000179,0.4285714285714285,0.4285714285714285,0.4285714285714285,4,4,7,0.25,0.7272727272727273,0.48863636363636365
20260522_155750,patient_07,10,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:01:10,1,200,2.4382141000023694,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7,0.0,0.6,0.3
20260522_155750,patient_07,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:01:13,1,200,5.400980999998865,0.2857142857142857,0.2857142857142857,0.2857142857142857,5,5,7,0.7272727272727273,0.8333333333333334,0.7803030303030303
20260522_155750,patient_07,16,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:01:18,1,200,4.734956000000238,0.2857142857142857,0.2857142857142857,0.2857142857142857,5,5,7,0.7272727272727273,0.8333333333333334,0.7803030303030303
20260522_155750,patient_07,16,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:01:23,1,200,4.009169499993732,0.2857142857142857,0.2857142857142857,0.2857142857142857,5,5,7,0.7272727272727273,0.8333333333333334,0.7803030303030303
